VIN,Year,Make,Model,Mileage,Value,others
30316418,2010,Ford,Fusion,"100,120",3000,
29908808,2009,GMC,Terrain,"98,200",3200,
31044627,1999,Honda,Accord,"120,500",2000,
31229473,2020,Toyota,Highlander,"5,400",35000,
30316733,2011,Nissan,Altima,"90,230",4000,
31229478,2018,Ford,Mustang,"10,259",20000,
30316422,2000,Toyota,Tundra,"85,390",4000,
51229071,20012,Chevrolet,Malibu,"65,800",3000,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
